player_1,player_2,player_3,player_4,winner
ac,kc,jc,qc,player_1
ah,5h,7h,kh,player_1
jh,3h,6h,qh,player_4
8s,js,as,7s,player_3
7c,8c,10c,9c,player_3
6c,3c,3s,5c,player_1
6s,10s,ks,2d,player_3
4s,3d,qs,8h,player_3
4c,4d,5s,9h,player_1
4h,5d,6d,10h,player_4
2s,7d,9s,jd,player_3
2h,10d,8d,qd,player_1
2c,ad,9d,kd,player_1
ad,10d,6d,qd,player_1
ks,as,qs,9s,player_2
kc,qc,9c,ac,player_4
kd,2c,3d,9d,player_1
jc,6c,7c,2h,player_1
jd,4s,2d,7d,player_1
10c,4c,5c,2s,player_1
8c,6s,3c,3h,player_1
8d,8s,5s,5d,player_1
7s,10s,js,4h,player_3
6h,ah,jh,kh,player_2
5h,qh,10h,7h,player_2
3s,9h,8h,4d,player_1
kc,7c,qc,ac,player_4
kh,9h,10h,ah,player_4
qh,4h,6h,3c,player_1
jc,2c,8c,10c,player_1
jh,3h,5h,4s,player_1
10d,ad,jd,kd,player_2
9c,2s,5c,6c,player_1
9s,10s,ks,as,player_4
8h,3d,2h,7s,player_1
7h,3s,2d,7d,player_1
5d,qd,8d,9d,player_2
4d,6d,5s,js,player_2
4c,8s,6s,qs,player_1
ad,10d,kd,jd,player_1
as,js,10s,qs,player_1
ks,6s,8s,9s,player_1
kc,ac,8c,9c,player_2
kh,ah,jh,qh,player_2
qd,5d,9d,8d,player_1
jc,qc,6c,7c,player_2
10c,3c,5c,4c,player_1
10h,3h,9h,8h,player_1
7s,5s,2s,4s,player_1
6h,2d,7h,4h,player_3
6d,3d,4d,7d,player_4
5h,3s,2c,2h,player_1
kh,9h,qh,ah,player_4
ks,qs,as,10s,player_3
jc,kc,ac,9c,player_3
jd,10d,7d,ad,player_4
10c,4c,qc,8c,player_3
7c,4s,3c,6c,player_1
7h,6h,8h,jh,player_4
5s,js,8s,7s,player_2
5h,5d,4h,10h,player_4
4d,9d,2d,kd,player_4
3d,6d,2c,qd,player_4
3h,6s,2h,5c,player_1
2s,9s,3s,8d,player_2
js,5s,10s,as,player_4
jd,ad,qd,9d,player_2
jh,3h,ah,9h,player_3
10h,3s,kh,5h,player_3
8d,kd,5d,4d,player_2
7c,10c,kc,ac,player_4
6d,10d,2h,2c,player_2
6h,3d,qh,3c,player_3
6c,9c,qc,jc,player_3
5c,8c,6s,7s,player_2
4h,4s,8h,8s,player_3
2d,7d,7h,qs,player_2
2s,4c,9s,ks,player_4
ks,8s,as,10s,player_3
qh,10h,ah,6h,player_3
qd,8d,ad,jd,player_3
qc,kc,ac,jc,player_3
js,5s,qs,7s,player_3
6s,3c,9s,4s,player_3
6c,10c,8c,2c,player_2
5d,4d,kd,10d,player_3
5h,8h,kh,4h,player_3
3s,3d,7c,2d,player_1
3h,4c,jh,6d,player_3
2s,5c,7h,7d,player_1
2h,9c,9h,9d,player_3
ad,jd,kd,5d,player_1
ah,qh,9h,3h,player_1
kh,8h,7h,2s,player_1
js,ks,10s,as,player_4
jh,3d,4h,3s,player_1
10h,3c,2d,4c,player_1
9s,5c,2c,qs,player_4
7s,6d,8d,8s,player_4
6h,7c,9d,4s,player_1
5h,7d,10c,6c,player_1
5s,9c,jc,6s,player_4
4d,10d,qd,8c,player_3
2h,kc,ac,qc,player_1
