player_1,player_2,player_3,player_4,winner
ac,kc,2d,qc,player_1
ah,kh,qh,7h,player_1
as,7s,ks,qs,player_1
kd,9d,ad,10d,player_3
qd,5d,8d,6d,player_1
js,6s,10s,8s,player_1
jd,3s,7d,2h,player_1
9s,3c,5s,2c,player_1
8h,jh,10h,5h,player_2
6h,4h,9h,6c,player_3
4c,10c,3d,jc,player_4
3h,5c,4d,7c,player_1
2s,9c,4s,8c,player_3
ah,10h,kh,qh,player_1
kc,qc,ac,9c,player_3
qs,as,ks,10s,player_2
jc,10c,2c,8c,player_1
9d,kd,ad,qd,player_3
8d,jd,5d,7d,player_2
7s,js,4s,6s,player_2
7c,6c,2h,5c,player_1
6h,7h,9h,jh,player_4
5s,9s,3s,3d,player_2
3c,4d,3h,4c,player_4
2s,8s,4h,5h,player_2
2d,10d,8h,6d,player_2
ad,qd,9d,jd,player_1
ah,9h,qh,8h,player_1
ac,jc,7c,qc,player_1
kc,8c,6c,9c,player_1
kh,5h,jh,7h,player_1
kd,2c,6d,10d,player_1
10c,4c,5c,2d,player_1
10h,3h,4h,4d,player_1
10s,qs,as,ks,player_3
6h,3s,2s,5d,player_1
6s,8s,js,9s,player_3
4s,5s,7s,7d,player_3
2h,3c,3d,8d,player_1
ac,kc,qc,10c,player_1
qs,as,js,9s,player_2
9h,qh,kh,ah,player_4
9d,3d,ad,qd,player_3
9c,8c,jc,7c,player_3
8d,3h,kd,jd,player_3
6s,ks,5s,7s,player_2
6d,4h,7d,10d,player_4
5d,5c,4d,2c,player_1
4c,6h,6c,3c,player_3
3s,10s,4s,5h,player_2
2h,jh,10h,8h,player_2
2s,8s,2d,7h,player_2
kh,jh,qh,ah,player_4
qc,10c,ac,8c,player_3
qs,js,ks,as,player_4
9c,7c,kc,5c,player_3
9h,10h,8h,2h,player_2
8d,qd,9d,ad,player_4
7d,4h,5d,kd,player_4
6s,10s,9s,5s,player_2
6h,7h,2s,2c,player_2
6d,5h,4d,jd,player_4
3s,8s,4s,3d,player_2
3h,6c,3c,4c,player_1
2d,7s,jc,10d,player_4
ad,jd,kd,qd,player_1
kc,7c,jc,ac,player_4
qc,3s,10c,9c,player_1
jh,8h,10h,ah,player_4
10d,8d,9d,4d,player_1
8c,3d,6c,5c,player_1
5d,7d,2d,2h,player_2
5s,as,qs,9s,player_2
4s,ks,8s,2s,player_2
4c,6d,6s,4h,player_1
3c,7s,6h,5h,player_1
3h,10s,9h,kh,player_4
2c,js,7h,qh,player_1
as,js,qs,ks,player_1
ac,jc,kc,qc,player_1
kd,qd,ad,7d,player_3
qh,ah,8h,kh,player_2
jd,9d,6d,3d,player_1
10s,7s,6s,2s,player_1
10d,8d,5d,3h,player_1
10h,jh,6h,9h,player_2
9s,4c,3s,3c,player_1
8s,4d,2d,4h,player_1
5s,5h,2c,7c,player_1
4s,5c,6c,8c,player_1
2h,7h,10c,9c,player_2
jh,ah,qh,2d,player_2
10h,kh,8h,3s,player_2
9h,7h,3h,3c,player_1
8s,as,ks,qs,player_2
8d,kd,ad,5d,player_3
8c,qc,10c,ac,player_4
7s,js,9s,10s,player_2
7d,jd,qd,4c,player_3
6c,2s,9c,kc,player_4
5s,4d,4s,6s,player_4
4h,6h,2c,5c,player_2
3d,9d,10d,7c,player_3
2h,5h,6d,jc,player_2
