player_1,player_2,player_3,player_4,winner
ad,qd,6d,kd,player_1
kh,9h,ah,8h,player_3
ks,9s,as,qs,player_3
qh,4h,jh,3d,player_1
10c,jc,8c,ac,player_4
8s,6s,4s,js,player_4
8d,10d,4d,jd,player_4
7s,5s,2d,10s,player_4
7h,2c,10h,4c,player_3
6h,3c,5h,7d,player_1
5d,3s,3h,9d,player_4
2s,5c,6c,qc,player_1
2h,9c,7c,kc,player_1
ah,qh,3h,kh,player_1
ac,qc,jc,8c,player_1
kc,6c,4c,7c,player_1
qd,10d,ad,2c,player_3
jd,6d,kd,2h,player_3
10c,2d,5s,5c,player_1
9c,3s,5d,2s,player_1
8h,9h,7d,jh,player_4
5h,6h,8d,10h,player_4
4s,8s,as,qs,player_3
4d,4h,9d,7h,player_3
3d,6s,9s,10s,player_1
3c,7s,ks,js,player_1
ad,4s,qd,kd,player_1
kc,jc,qc,ac,player_4
qs,as,9s,10s,player_2
qh,10h,kh,ah,player_4
jh,9h,7h,2s,player_1
9d,5h,10d,jd,player_4
8h,5c,6h,4c,player_1
4h,6c,2d,6s,player_1
3c,9c,10c,8c,player_3
3d,7c,5d,8d,player_4
3h,8s,3s,6d,player_1
2c,js,4d,7s,player_1
2h,ks,5s,7d,player_1
kh,2h,ah,8h,player_3
qc,ac,kc,7c,player_2
jh,3s,qh,6h,player_3
jc,10c,4c,5c,player_1
10h,4d,9h,2c,player_1
9c,8c,3h,3c,player_1
8d,kd,jd,ad,player_4
6c,5d,4s,2d,player_1
6s,ks,9s,as,player_4
5s,10s,7s,qs,player_4
4h,6d,7h,7d,player_3
3d,qd,10d,8s,player_2
2s,9d,5h,js,player_4
jc,ac,kc,7c,player_2
jh,kh,ah,10h,player_3
10c,qc,8c,6c,player_2
9s,qs,ks,as,player_4
7s,js,2s,10s,player_2
5s,6s,3d,8s,player_4
5c,9c,4h,4c,player_2
5d,9d,ad,kd,player_3
4s,2d,6h,2c,player_1
4d,7d,jd,qd,player_4
3h,qh,8h,7h,player_2
3s,5h,8d,2h,player_1
3c,9h,10d,6d,player_1
ac,8c,2h,kc,player_1
ah,kh,4h,jh,player_1
qh,10h,3h,9h,player_1
jc,4c,2s,qc,player_4
js,ks,as,qs,player_3
10d,ad,kd,9d,player_2
10s,5s,8s,6s,player_1
9s,4s,7s,2c,player_1
9c,2d,3d,10c,player_4
7d,8d,qd,3c,player_3
7c,5h,4d,6c,player_1
6h,8h,5d,7h,player_2
3s,6d,jd,5c,player_1
as,qs,ks,7s,player_1
ad,jd,kd,7d,player_1
qc,kc,jc,ac,player_4
qd,10d,9d,2d,player_1
jh,8h,ah,kh,player_3
10c,8c,4c,9c,player_1
8s,js,2h,2c,player_2
8d,6d,5d,3c,player_1
6s,10s,3d,5c,player_2
6c,2s,4h,7c,player_4
4d,3h,5h,7h,player_1
4s,9s,6h,10h,player_2
3s,5s,9h,qh,player_2
as,3c,10s,js,player_1
ks,3d,7s,2d,player_1
qc,jc,ac,kc,player_3
qs,5c,6s,4d,player_1
10d,jd,7d,ad,player_4
9s,5h,5s,6d,player_1
8s,6c,4s,8c,player_1
5d,8d,2c,kd,player_4
4c,7c,10c,9c,player_3
3h,qh,9h,ah,player_4
3s,8h,4h,9d,player_1
2s,10h,6h,qd,player_1
2h,jh,7h,kh,player_4
