player_1,player_2,player_3,player_4,winner
ah,9h,7h,kh,player_1
as,ks,js,9s,player_1
kc,10c,8c,ac,player_4
qc,9c,6c,jc,player_1
10h,5h,6h,qh,player_4
10s,qs,4s,2c,player_2
10d,kd,ad,9d,player_3
8d,2d,qd,4d,player_3
7d,2s,jd,3d,player_3
7s,8s,4h,3h,player_2
6s,3s,5c,4c,player_1
5s,3c,5d,8h,player_1
2h,7c,6d,jh,player_4
kc,5c,ac,qc,player_3
qd,jd,ad,9d,player_3
10d,4d,kd,8d,player_3
10s,js,qs,as,player_4
8s,9s,2d,ks,player_4
7d,2s,3d,6d,player_1
7s,4c,3c,4s,player_1
7h,qh,ah,8h,player_3
6s,5h,4h,2c,player_1
5s,6h,7c,5d,player_1
3h,jh,kh,6c,player_3
3s,9h,8c,9c,player_1
2h,10h,10c,jc,player_2
ac,kc,qc,10c,player_1
qd,7d,kd,ad,player_4
js,10s,as,ks,player_3
jd,6d,10d,2h,player_1
8s,7s,qs,9s,player_3
7h,ah,9h,kh,player_2
6s,4s,3s,5s,player_1
6h,5h,8h,qh,player_4
6c,5c,jc,9c,player_3
5d,2s,9d,7c,player_3
4d,3c,8d,8c,player_3
3h,4h,2c,jh,player_4
2d,4c,3d,10h,player_3
ah,2h,jh,qh,player_1
kd,ad,qd,jd,player_2
kh,3s,7h,10h,player_1
js,as,qs,7s,player_2
jc,ac,10c,7c,player_2
9d,10d,5d,7d,player_2
9s,ks,10s,2s,player_2
8h,4s,5h,9h,player_4
6c,kc,9c,5c,player_2
6d,8d,3d,2c,player_2
6s,8s,2d,3c,player_2
5s,8c,3h,4c,player_1
4d,qc,4h,6h,player_1
as,9s,ks,js,player_1
ah,qh,jh,7h,player_1
kh,10h,6h,4d,player_1
qd,10d,ad,kd,player_3
10s,4s,qs,7s,player_3
9h,5h,4h,4c,player_1
8s,2d,3s,6s,player_1
8h,3c,3h,5c,player_1
7d,9d,8d,jd,player_4
6c,ac,9c,kc,player_2
5s,5d,2c,7c,player_1
2s,6d,3d,10c,player_1
2h,qc,8c,jc,player_1
ad,10d,jd,kd,player_1
kh,8h,ah,jh,player_3
qc,ac,2h,7c,player_2
js,ks,as,7s,player_3
jc,kc,3h,4c,player_2
10c,8c,5d,3c,player_1
9c,2c,5h,3s,player_1
6d,8d,7h,qd,player_4
6c,4s,9h,3d,player_1
5c,4h,9s,4d,player_1
5s,8s,qs,6s,player_3
2d,7d,10s,9d,player_4
2s,6h,qh,10h,player_1
as,10s,ks,qs,player_1
kd,10d,jd,ad,player_4
qd,2s,9d,6d,player_1
js,9s,4s,8s,player_1
jc,ac,8c,kc,player_2
10c,qc,6c,3c,player_2
9c,7c,4c,2d,player_1
8h,qh,jh,ah,player_4
8d,2c,7d,2h,player_1
5d,3h,4d,5s,player_1
5h,10h,6h,kh,player_4
5c,6s,3d,7s,player_1
4h,7h,3s,9h,player_4
ac,jc,qc,kc,player_1
kh,ah,10h,qh,player_2
jh,4h,5h,9h,player_1
10d,ad,qd,4d,player_2
8d,kd,9d,3d,player_2
8h,2d,3s,7h,player_1
7s,10s,as,ks,player_3
6s,5s,js,qs,player_4
6h,2c,4s,2s,player_1
6c,9c,10c,7c,player_3
5c,8c,5d,4c,player_2
3h,3c,6d,8s,player_1
2h,jd,7d,9s,player_1
