puzzle,label
4 0 1 0 0 0 0 2 2 0 0 0 0 1 0 4,valid
0 0 1 2 0 0 0 3 2 0 0 0 3 4 0 0,valid
0 1 2 0 0 0 0 1 3 0 0 0 0 4 4 0,invalid
0 0 2 0 0 2 3 0 0 3 1 0 0 2 0 0,invalid
1 0 0 0 0 4 2 0 0 1 3 0 0 0 0 2,valid
0 1 0 0 2 0 1 0 0 3 0 2 0 0 1 0,invalid
0 0 0 0 1 2 0 0 0 0 3 1 0 0 0 0,valid
0 0 0 0 0 0 1 2 4 2 0 0 0 0 0 0,valid
1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 4,valid
3 2 0 0 0 4 0 0 0 0 2 0 0 0 3 2,invalid
0 1 2 0 0 0 4 0 0 1 0 0 0 2 1 0,invalid
0 3 0 0 0 0 2 0 0 1 0 0 0 0 2 0,invalid
0 1 0 0 3 4 0 0 0 0 1 2 0 0 2 0,invalid
0 0 0 2 4 0 0 0 0 0 0 4 3 0 0 0,valid
1 0 3 0 0 0 0 0 0 0 0 0 0 3 0 2,valid
3 0 0 0 0 0 0 2 1 0 0 0 0 0 0 2,invalid
2 0 0 1 0 0 1 0 0 2 0 0 1 0 0 4,invalid
4 0 0 0 2 3 0 0 0 0 1 4 0 0 0 2,valid
1 0 0 0 0 0 0 4 3 0 0 0 0 0 0 4,invalid
4 0 2 0 0 0 0 0 0 0 0 0 0 1 0 1,invalid
3 0 0 1 0 0 0 4 4 0 0 0 1 0 0 3,valid
3 0 0 0 4 3 0 0 0 0 3 4 0 0 0 1,invalid
0 2 0 0 4 1 0 0 0 0 2 1 0 0 1 0,invalid
0 3 0 0 0 0 3 0 0 2 0 0 0 0 4 0,valid
0 0 2 0 0 0 1 0 0 2 0 0 0 3 0 0,valid
0 0 3 0 3 0 0 0 0 0 0 4 0 2 0 0,valid
0 0 0 2 4 0 0 0 0 0 0 1 1 0 0 0,valid
0 3 0 3 0 0 0 0 0 0 0 0 1 0 2 0,invalid
0 0 0 4 0 4 1 0 0 2 2 0 3 0 0 0,invalid
0 0 3 0 0 2 0 0 0 0 2 0 0 4 0 0,valid
0 0 0 1 0 0 0 2 3 0 0 0 2 0 0 0,valid
0 0 1 0 0 2 0 3 3 0 3 0 0 1 0 0,invalid
3 2 0 0 2 0 0 0 0 0 0 2 0 0 4 3,invalid
0 0 0 0 0 3 0 3 1 0 3 0 0 0 0 0,invalid
0 0 1 0 0 3 0 0 0 0 1 0 0 4 0 0,invalid
