puzzle,label
0 3 0 7 9 8 0 1 0 0 0 0 3 0 5 0 0 0 5 0 0 0 6 0 0 0 3 3 2 0 0 0 0 0 4 5 8 0 6 0 0 0 2 0 9 7 4 0 0 0 0 0 8 1 2 0 0 0 1 0 0 0 6 0 0 0 5 0 3 0 0 0 0 7 0 9 2 6 0 5 0,valid
0 0 5 0 0 0 0 0 0 9 8 0 0 0 7 0 4 5 0 0 6 4 0 0 0 0 0 6 9 0 0 4 0 0 5 0 2 0 0 5 0 9 0 0 4 0 4 0 0 8 0 0 3 6 0 0 0 1 0 0 8 0 9 8 7 0 0 0 5 0 2 0 0 0 0 0 0 0 0 7 0,valid
0 6 0 5 0 2 0 1 0 0 0 5 9 6 0 9 0 0 0 0 1 0 0 0 2 0 0 4 0 0 0 5 0 0 2 3 0 1 0 6 0 9 0 7 0 6 5 0 0 2 0 0 0 9 0 0 7 0 0 0 3 0 0 0 0 4 0 9 6 7 0 0 0 8 0 7 0 3 0 9 0,invalid
0 0 0 4 0 2 0 0 0 1 0 0 0 0 0 0 0 2 7 0 0 6 1 3 0 0 8 5 0 9 0 0 0 4 0 3 0 0 3 0 9 0 1 0 0 7 0 1 0 0 0 8 0 9 9 0 0 7 6 1 0 0 4 8 0 0 0 0 0 0 0 1 0 0 0 9 0 5 0 0 0,invalid
0 3 0 0 0 0 0 8 0 2 0 7 0 0 0 5 0 1 0 1 4 0 0 9 3 6 0 0 0 0 8 0 7 0 0 0 0 7 0 9 0 5 0 3 0 0 0 3 1 0 6 7 0 0 0 2 9 7 0 0 6 1 0 7 0 6 0 0 0 8 0 5 0 8 0 0 0 0 0 7 0,valid
0 4 0 0 5 0 0 9 0 0 0 2 4 0 0 7 0 0 9 0 0 0 0 2 0 0 6 0 0 4 0 6 0 0 5 0 8 0 0 5 0 7 0 0 9 0 3 0 0 8 0 1 0 0 1 0 0 6 0 0 0 0 4 0 0 2 0 0 1 3 0 0 0 9 0 0 2 0 0 1 0,invalid
0 3 0 6 0 1 7 0 0 0 0 0 0 0 0 8 0 0 0 8 0 0 2 0 0 0 5 1 0 0 9 0 0 0 0 2 0 0 5 0 0 0 1 0 0 4 0 0 0 0 6 0 0 9 9 0 0 0 7 0 0 0 0 0 0 4 0 0 0 2 0 1 0 0 7 3 0 5 0 0 0,valid
0 0 0 3 0 4 0 0 0 0 0 0 0 2 0 6 9 0 0 2 5 0 6 0 0 0 0 6 0 0 0 5 0 0 0 4 0 3 8 0 0 0 1 2 0 4 0 0 0 3 0 0 0 8 0 0 0 0 4 0 5 0 0 0 6 3 0 1 0 2 0 0 0 0 0 2 0 9 0 0 0,valid
0 0 0 0 0 0 0 8 0 0 0 0 6 4 0 0 0 5 1 0 9 0 3 5 0 0 4 0 0 5 0 0 0 0 4 0 0 4 2 0 6 0 1 5 0 0 3 0 0 0 0 8 0 0 3 0 0 5 8 0 6 0 2 5 0 0 0 7 1 0 0 0 0 8 0 0 0 0 0 0 0,valid
0 0 0 5 0 2 0 9 0 0 7 0 0 0 0 0 0 2 0 4 5 7 0 0 0 0 0 2 9 0 0 0 0 0 7 5 0 0 0 0 1 0 0 0 0 4 0 2 0 0 0 8 0 9 0 0 0 0 0 7 5 0 0 3 0 0 0 0 0 9 2 0 0 6 0 4 0 3 0 0 0,invalid
4 7 0 9 0 0 0 0 0 0 0 8 0 0 7 0 0 0 0 1 0 0 0 0 0 0 4 1 4 0 0 0 0 0 5 0 0 0 0 0 0 5 0 0 0 8 0 0 1 0 3 4 2 0 2 1 0 0 0 8 0 4 3 0 0 0 5 0 1 0 0 2 5 8 9 3 0 0 1 0 0,invalid
2 0 0 0 0 6 0 0 8 0 0 3 0 1 4 7 0 0 0 4 0 8 0 0 0 3 0 1 5 0 0 0 0 7 0 0 0 9 0 0 0 0 0 6 0 0 0 7 0 0 0 0 5 3 0 3 0 0 0 7 0 2 0 0 0 8 1 5 0 3 0 0 9 0 0 6 0 0 0 0 5,invalid
0 0 6 8 0 2 9 0 0 0 0 4 0 0 0 3 0 0 2 0 0 0 9 0 0 0 6 6 0 0 9 0 8 0 0 3 0 0 2 0 0 0 1 0 0 3 0 0 4 0 6 0 0 1 1 2 0 0 8 0 0 0 5 0 0 0 0 0 0 6 0 0 0 0 8 3 0 1 2 0 0,invalid
1 0 0 0 6 0 0 0 9 9 0 0 0 2 0 0 0 8 5 0 2 3 0 0 1 0 7 0 0 0 1 0 0 8 0 0 7 2 0 0 4 0 0 1 6 0 0 1 0 0 2 0 0 0 6 0 7 0 0 4 2 0 3 3 0 0 0 8 0 0 0 1 2 0 0 0 7 0 0 0 4,valid
0 4 0 0 5 0 0 3 0 0 0 0 8 0 4 0 0 0 0 5 9 0 7 0 8 4 0 0 2 0 5 0 1 0 6 0 5 0 3 0 0 0 1 0 9 0 7 0 2 0 9 0 5 0 0 1 6 0 9 0 2 8 0 0 0 0 7 0 8 0 0 0 0 8 0 0 2 0 0 7 0,valid
0 0 9 0 0 1 0 0 6 3 0 0 0 4 0 0 0 0 8 6 2 0 9 0 0 4 0 9 0 0 7 0 0 0 0 0 0 7 6 0 2 0 8 3 0 0 0 0 0 0 1 0 0 9 0 0 0 0 5 0 6 0 8 0 0 3 0 7 0 5 0 0 2 0 0 1 0 0 7 9 0,invalid
6 0 0 8 0 0 0 0 0 0 0 0 2 0 0 0 0 5 5 7 0 4 2 0 1 0 0 0 2 0 0 0 0 0 0 7 0 6 5 0 0 0 4 9 0 4 0 0 0 0 0 0 5 0 0 0 4 0 3 6 0 8 2 3 0 0 0 0 9 0 0 0 0 0 0 0 0 8 0 0 9,invalid
2 0 0 0 7 0 0 0 6 0 0 5 0 4 0 3 0 0 0 0 6 9 0 2 7 0 0 6 0 8 0 0 0 5 2 0 0 5 0 0 0 0 0 7 0 0 1 2 0 0 0 9 0 8 0 0 3 5 0 7 2 0 0 0 0 7 0 2 0 8 0 0 4 0 0 0 9 0 0 0 7,valid
