puzzle,label
3066 1469 _ _ 3786 _ _ _ _ _ _ 377 _ _ 2953 2144,valid
_ 2103 _ _ _ _ _ 807 3114 _ _ _ _ _ 2545 _,valid
_ _ _ _ _ 2642 _ 2093 2871 _ 2725 _ _ _ _ _,invalid
_ _ _ 3414 _ 756 2558 _ _ 590 2099 _ 2600 _ _ _,invalid
_ _ 1303 _ _ 862 _ _ _ _ 1189 _ _ 759 _ _,valid
_ 1903 _ 4113 3307 _ _ _ _ _ _ 1866 200 _ 3105 _,invalid
_ _ 838 474 _ _ _ 3013 1464 _ _ _ 3639 2083 _ _,valid
_ _ _ 501 _ 1727 632 _ _ 2998 2425 _ 1315 _ _ _,valid
_ _ 1446 _ _ 1550 _ _ _ _ 1286 _ _ 980 _ _,valid
1898 _ _ 3321 _ _ 2099 _ _ 3733 _ _ 4157 _ _ 1875,invalid
_ _ _ 1906 3378 _ _ _ _ _ _ 395 378 _ _ _,invalid
_ 3403 _ 545 _ _ 2449 _ _ 2114 _ _ 472 _ 3583 _,invalid
_ 979 3043 _ 3638 _ _ _ _ _ _ 3060 _ 3322 3353 _,invalid
_ 870 _ _ _ _ 998 _ _ 289 _ _ _ _ 2184 _,valid
_ _ _ 1856 185 _ _ _ _ _ _ 353 3069 _ _ _,valid
_ _ _ 3786 375 _ _ _ _ _ _ 3834 1286 _ _ _,invalid
2473 3510 _ _ _ 1435 _ _ _ _ 2915 _ _ _ 3323 2596,invalid
4125 _ _ 1348 _ 2814 _ _ _ _ 2252 _ 1565 _ _ 3995,valid
3170 _ _ _ _ 3833 2349 _ _ 1620 3307 _ _ _ _ 2998,invalid
_ _ _ _ _ 3436 _ 3275 3270 _ 1669 _ _ _ _ _,invalid
_ 3044 _ _ _ 2267 _ _ _ _ 2672 _ _ _ 1387 _,valid
563 _ _ _ _ 1394 3484 _ _ 2723 1388 _ _ _ _ 3064,invalid
_ 1698 _ _ 1446 _ 292 _ _ 521 _ 4132 _ _ 3868 _,invalid
_ 1542 _ _ 159 _ 373 _ _ 2804 _ 2834 _ _ 612 _,valid
_ _ 4126 292 _ _ _ _ _ _ _ _ 445 27 _ _,valid
_ _ _ 988 1041 _ _ 3239 3844 _ _ 3730 3877 _ _ _,valid
_ _ _ 4106 _ 544 _ _ _ _ 1846 _ 2842 _ _ _,valid
2937 4065 2477 _ _ _ _ _ _ _ _ _ _ 2677 1240 11,invalid
926 _ 2391 _ _ _ _ _ _ _ _ _ _ 2963 _ 3457,invalid
