player_1,player_2,player_3,player_4,winner
kd,ad,jd,10d,player_2
jc,kc,ac,3d,player_3
7d,qd,2h,9d,player_2
7s,4s,ks,as,player_4
6h,qh,ah,kh,player_3
6s,2s,js,qs,player_4
5h,jh,8h,10h,player_2
4d,8d,3s,6d,player_2
4h,2d,7h,9h,player_4
4c,10c,qc,5d,player_3
3c,9c,6c,8s,player_2
3h,7c,5c,9s,player_1
2c,8c,5s,10s,player_2
qc,8c,ac,kc,player_3
qd,ad,9d,6d,player_2
qs,as,js,ks,player_2
jc,6c,9c,2h,player_1
jh,4h,qh,ah,player_4
10s,8s,6s,9s,player_1
10c,4c,7c,3d,player_1
7d,kd,8d,3s,player_2
7h,4d,10h,kh,player_4
7s,5s,2d,4s,player_1
5c,5d,3c,5h,player_1
2c,10d,3h,6h,player_1
2s,jd,9h,8h,player_1
as,qs,9s,ks,player_1
ac,10c,kc,qc,player_1
js,7s,8s,10s,player_1
10h,kh,ah,9h,player_3
9c,5c,jc,2s,player_3
7c,4c,8c,3d,player_3
6s,4s,5d,5s,player_1
6d,kd,9d,ad,player_4
3c,2h,6c,4d,player_3
3s,4h,6h,7h,player_1
3h,qh,jh,8h,player_2
2d,jd,8d,qd,player_4
2c,5h,7d,10d,player_1
ah,qh,9h,5h,player_1
kh,jh,8h,2s,player_1
qd,kd,10d,ad,player_4
js,6s,ks,as,player_4
10h,3h,4h,4c,player_1
8s,3s,qs,10s,player_3
7h,2h,2c,7d,player_1
7s,3c,2d,9s,player_4
6h,3d,6d,8c,player_1
6c,jc,ac,qc,player_3
5d,jd,7c,9d,player_2
5s,4d,9c,8d,player_1
4s,5c,kc,10c,player_1
as,10s,qs,ks,player_1
ah,kh,8h,10h,player_1
ac,jc,4c,kc,player_1
js,8s,7s,9s,player_1
10c,7c,3c,qc,player_4
9c,6c,5h,3d,player_1
9h,qh,5s,6h,player_2
8c,2h,6d,3h,player_1
5c,3s,8d,4s,player_1
4d,7d,ad,kd,player_3
2d,4h,jd,qd,player_4
2c,7h,9d,5d,player_1
2s,jh,10d,6s,player_4
qd,ad,6d,kd,player_2
jc,5c,kc,ac,player_4
10d,8d,4c,jd,player_4
8h,4h,kh,ah,player_4
7h,3h,qh,9h,player_3
7c,2c,qc,10c,player_3
6s,qs,ks,as,player_4
6h,2d,jh,3c,player_3
5d,7d,5h,9d,player_4
3s,js,10s,7s,player_2
3d,4d,8c,4s,player_2
2h,5s,10h,6c,player_3
2s,8s,9s,9c,player_3
ah,qh,kh,jh,player_1
kd,jd,ad,qd,player_3
qs,5s,ks,as,player_4
10s,2h,9s,js,player_4
9h,10h,4h,7h,player_2
8s,5d,7s,4s,player_1
6s,7c,2s,3s,player_1
4c,qc,jc,ac,player_4
3c,10c,8c,kc,player_4
3d,10d,9d,4d,player_2
