player_1,player_2,player_3,player_4,winner
as,2s,10s,ks,player_1
js,3d,7s,qs,player_4
10c,qc,jc,ac,player_4
10h,kh,qh,ah,player_4
9h,jh,8h,6h,player_2
9s,4c,6s,4s,player_1
8s,5d,5s,3s,player_1
8d,kd,ad,jd,player_3
7h,6c,5h,2c,player_1
4d,qd,2h,9d,player_2
3c,6d,9c,kc,player_4
3h,7d,4h,5c,player_3
2d,10d,7c,8c,player_2
kh,ah,10h,qh,player_2
qs,ks,as,10s,player_3
qc,jc,4c,ac,player_4
10c,9c,3c,kc,player_4
8s,2c,js,9s,player_3
7h,9h,8h,jh,player_4
6s,3d,7s,5s,player_3
5h,6h,4s,3h,player_2
5c,8c,5d,7c,player_2
4h,6c,6d,2s,player_1
4d,ad,10d,kd,player_2
2d,qd,9d,jd,player_2
2h,7d,8d,3s,player_1
ah,9h,8h,kh,player_1
as,js,2s,8s,player_1
ks,7s,3c,5s,player_1
kc,jc,ac,10c,player_3
qs,4s,4c,3s,player_1
jh,6h,7h,qh,player_4
10s,2h,6c,2d,player_1
9s,3d,6d,3h,player_1
9c,5c,qc,4h,player_3
8c,4d,7c,7d,player_1
8d,9d,ad,kd,player_3
6s,5d,jd,10d,player_1
2c,5h,qd,10h,player_1
as,8s,js,10s,player_1
ah,kh,qh,9h,player_1
ks,6s,7s,9s,player_1
kd,7d,10d,ad,player_4
qs,5s,3s,4s,player_1
qd,5d,6d,4d,player_1
jd,3d,3h,2d,player_1
10h,8h,jh,6h,player_3
9c,ac,10c,jc,player_2
9d,2c,3c,4c,player_1
8d,2s,5h,4h,player_1
7c,kc,8c,6c,player_2
2h,qc,7h,5c,player_3
as,js,9s,qs,player_1
ks,5s,4s,10s,player_1
kd,ad,9d,8d,player_2
jd,qd,3c,7d,player_2
10d,3d,6h,6d,player_1
8h,5h,ah,jh,player_3
8s,2s,7c,3h,player_1
7s,4c,9h,4h,player_1
6s,5c,10h,4d,player_1
3s,8c,jc,5d,player_1
2d,9c,qh,6c,player_1
2h,qc,kh,7h,player_3
2c,ac,kc,10c,player_2
as,ks,9s,8s,player_1
kd,qd,ad,3d,player_3
js,qs,4d,2s,player_2
10d,9d,jd,3c,player_3
10s,7s,6d,4h,player_1
9h,qh,10h,ah,player_4
6s,5s,7c,6c,player_1
5c,ac,10c,kc,player_2
5d,2d,8d,6h,player_3
5h,8h,7h,kh,player_4
4s,3s,7d,jh,player_1
3h,2c,8c,jc,player_1
2h,4c,9c,qc,player_1
kd,9d,ad,jd,player_3
jh,9h,ah,10h,player_3
10d,6d,qd,8d,player_3
10s,as,ks,qs,player_2
8s,9s,6s,js,player_4
7s,3s,5s,2h,player_1
7h,8h,kh,4h,player_3
6h,3d,qh,4d,player_3
5c,kc,qc,ac,player_4
4s,3c,2s,4c,player_1
3h,5d,5h,7c,player_3
2d,8c,6c,7d,player_4
2c,9c,jc,10c,player_3
ac,qc,4c,10c,player_1
kc,2d,3c,8c,player_1
qd,kd,ad,jd,player_3
jc,3d,2s,6c,player_1
10h,ah,kh,qh,player_2
10d,7d,6d,9d,player_1
9c,6s,3s,5c,player_1
8d,6h,4d,5d,player_1
7c,10s,4s,2c,player_1
5s,as,8s,ks,player_2
5h,jh,8h,9h,player_2
3h,js,7h,7s,player_3
2h,qs,4h,9s,player_3
ah,3h,6h,qh,player_1
kh,4c,2h,jh,player_1
ks,as,js,7s,player_2
jd,10d,ad,kd,player_3
10c,ac,jc,qc,player_2
9h,5c,3d,10h,player_4
7h,6s,3s,8h,player_4
6d,8d,qd,7d,player_3
6c,kc,9c,3c,player_2
5d,7c,9d,2d,player_3
5h,8c,4d,4h,player_1
4s,qs,10s,5s,player_2
2s,8s,9s,2c,player_3
kd,6d,jd,ad,player_4
kh,9h,ah,8h,player_3
qd,5d,10d,9d,player_1
jh,5h,qh,6h,player_3
10h,3h,7h,4h,player_1
10s,as,qs,ks,player_2
10c,qc,ac,7c,player_3
9c,4c,kc,5c,player_3
8d,4d,7d,2s,player_1
8c,3c,jc,2h,player_3
6c,2c,2d,3s,player_1
6s,5s,9s,js,player_4
3d,4s,8s,7s,player_1
as,6s,js,qs,player_1
ks,5s,10s,9s,player_1
kh,ah,9h,jh,player_2
jc,8c,ac,kc,player_3
10c,5c,qc,2d,player_3
9c,3d,4c,2h,player_1
8d,ad,10d,jd,player_2
7c,4h,3c,5d,player_1
7h,qh,5h,8h,player_2
7s,4d,3s,8s,player_4
6c,10h,2s,6h,player_1
4s,qd,3h,7d,player_1
2c,kd,6d,9d,player_1
as,7s,10s,6s,player_1
ks,5s,9s,2h,player_1
qs,2d,8s,3h,player_1
qh,9h,4h,ah,player_4
jh,7h,2s,kh,player_4
js,2c,3s,4d,player_1
10h,5h,3c,8h,player_1
10d,jd,ad,qd,player_3
9d,6d,kd,5d,player_3
6c,kc,ac,10c,player_3
5c,qc,3d,9c,player_2
4s,7c,7d,6h,player_1
4c,jc,8d,8c,player_2
ah,kh,10h,qh,player_1
kc,7c,ac,9c,player_3
qs,ks,as,js,player_3
qc,5c,6c,8c,player_1
jc,2s,2d,4c,player_1
10c,2h,3h,3c,player_1
8h,jh,7h,4s,player_2
5d,qd,10d,ad,player_4
5h,9h,4d,5s,player_2
4h,6h,6s,6d,player_2
3d,jd,8d,kd,player_4
3s,7d,10s,9s,player_3
2c,9d,8s,7s,player_1
as,8s,qs,ks,player_1
kc,9c,jc,ac,player_4
jh,qh,ah,kh,player_3
10s,7s,js,4s,player_3
9s,3s,6s,2d,player_1
8c,6c,3c,qc,player_4
8h,10h,9h,4h,player_2
8d,kd,ad,10d,player_3
7h,2s,6h,3d,player_1
5h,2c,3h,5c,player_1
4c,5d,5s,10c,player_4
4d,qd,9d,6d,player_2
2h,jd,7d,7c,player_1
as,8s,9s,js,player_1
ks,7s,5s,10s,player_1
qs,4s,2h,6s,player_1
10h,kh,6h,ah,player_4
10c,qc,ac,kc,player_3
7d,qd,kd,ad,player_4
7c,4c,jc,3c,player_3
6d,5d,10d,jd,player_4
6c,2c,9c,2d,player_3
4d,5h,9d,3d,player_3
4h,qh,5c,9h,player_2
3h,jh,8d,8h,player_2
2s,7h,8c,3s,player_4
kh,7h,10h,ah,player_4
kd,qd,ad,2h,player_3
js,7s,as,ks,player_3
9h,4h,5h,qh,player_4
8c,kc,10c,ac,player_4
8h,3h,2s,jh,player_4
7d,jd,9d,4s,player_2
7c,qc,3c,jc,player_2
6d,10d,2c,4c,player_2
5d,8d,6s,6c,player_2
5c,2d,9s,9c,player_4
4d,3d,10s,6h,player_1
3s,5s,qs,8s,player_3
as,9s,ks,10s,player_1
qs,4s,js,2h,player_1
jc,kc,9c,ac,player_4
jh,ah,kh,qh,player_2
8c,10c,3c,qc,player_4
8s,2d,7s,4c,player_1
6d,kd,ad,qd,player_3
6s,4h,3s,5c,player_1
5d,jd,3h,8d,player_2
5s,4d,6h,6c,player_1
3d,10d,7h,7d,player_2
2s,5h,8h,7c,player_1
2c,9d,9h,10h,player_1
ks,as,9s,js,player_2
qs,6s,7s,8s,player_1
jd,ad,qd,kd,player_2
jc,ac,qc,10c,player_2
10s,2h,4s,4c,player_1
9d,7d,10d,8d,player_3
8c,kc,7c,9c,player_2
8h,kh,ah,qh,player_3
5s,3h,2s,4h,player_1
3s,5d,3c,5h,player_1
3d,5c,6d,6c,player_3
2d,6h,4d,7h,player_3
2c,9h,jh,10h,player_1
as,qs,js,9s,player_1
ks,10s,8s,7s,player_1
10h,jh,qh,ah,player_4
10d,jd,ad,qd,player_3
9d,7d,kd,3h,player_3
8h,5h,7h,kh,player_4
6s,3s,4s,4h,player_1
5s,2s,2h,6h,player_1
5c,10c,ac,kc,player_3
4c,2c,qc,8c,player_3
3d,6d,8d,6c,player_3
3c,4d,jc,7c,player_3
2d,5d,9c,9h,player_2
ad,10d,kd,9d,player_1
ah,9h,10h,kh,player_1
ac,qc,kc,jc,player_1
qh,8h,2h,5h,player_1
jh,7h,5d,2s,player_1
jd,7d,qd,2d,player_3
8d,2c,6d,3c,player_1
6c,9c,8c,10c,player_4
4d,4c,5c,4s,player_1
4h,6h,js,5s,player_2
3h,6s,qs,7c,player_1
3d,7s,ks,8s,player_1
3s,9s,as,10s,player_3
as,6s,ks,7s,player_1
kc,10c,ac,8c,player_3
qc,4c,jc,5c,player_1
10s,4s,qs,5s,player_3
9s,3d,js,2d,player_3
9h,8h,10h,ah,player_4
7h,6h,2c,kh,player_4
7c,4h,9c,5h,player_3
6c,9d,3c,6d,player_1
5d,ad,7d,10d,player_2
3h,jd,3s,qh,player_4
2s,qd,8s,8d,player_3
2h,kd,4d,jh,player_4
as,ks,qs,8s,player_1
kd,jd,2h,ad,player_4
qh,10h,jh,ah,player_4
js,10s,6s,5s,player_1
10d,8d,2s,qd,player_4
9s,4s,2c,2d,player_1
7c,kc,ac,jc,player_3
7s,3s,4h,5h,player_1
6h,7h,9h,kh,player_4
5d,7d,5c,9d,player_4
4c,8c,qc,10c,player_3
4d,3d,6c,6d,player_4
3c,3h,9c,8h,player_3
ac,kc,10c,8c,player_1
ad,qd,kd,5d,player_1
kh,ah,4h,10h,player_2
jh,qh,3h,8h,player_2
jc,qc,9c,4c,player_2
9s,js,as,ks,player_3
7c,2h,2c,2s,player_1
6s,10s,4s,qs,player_4
6c,6h,2d,3d,player_1
5c,8s,6d,3s,player_1
5s,9d,7d,7s,player_4
4d,jd,10d,5h,player_2
3c,9h,8d,7h,player_1
as,ks,qs,10s,player_1
ad,3c,kd,jd,player_1
kh,qh,2d,ah,player_4
10d,5s,qd,8d,player_3
9c,ac,6c,jc,player_2
7c,kc,5c,2c,player_2
6s,js,7s,8s,player_2
6d,8c,9d,2h,player_3
5h,10h,3d,jh,player_4
5d,8h,7d,4h,player_3
3h,9s,4d,9h,player_4
