player_1,player_2,player_3,player_4,winner
ah,jh,4h,qh,player_1
ad,kd,jd,qd,player_1
kh,10h,3h,9h,player_1
jc,qc,kc,ac,player_4
10d,6d,8d,9d,player_1
9s,ks,as,3s,player_3
7c,10c,8c,6c,player_2
7s,js,qs,2h,player_3
6s,2s,10s,3d,player_3
5h,8h,4s,7h,player_2
5d,2c,5s,7d,player_4
4d,3c,5c,4c,player_1
2d,9c,8s,6h,player_1
ac,10c,kc,8c,player_1
kd,ad,9d,jd,player_2
kh,ah,qh,jh,player_2
ks,qs,as,js,player_3
jc,7c,qc,3c,player_3
9s,3s,10s,8s,player_3
9c,6c,5c,2h,player_1
7d,qd,3d,8d,player_2
7s,3h,5s,4d,player_1
6h,9h,4h,10h,player_4
6s,5h,2c,5d,player_1
4s,8h,2d,6d,player_1
2s,10d,4c,7h,player_1
ac,9c,qc,kc,player_1
qh,kh,ah,8h,player_3
10c,5c,7c,jc,player_4
10d,7d,ad,jd,player_3
9d,5d,kd,2h,player_3
8s,js,ks,as,player_4
8d,4d,qd,2s,player_3
6d,3d,2c,5h,player_1
6h,7h,jh,6c,player_3
4h,4s,10h,8c,player_3
3s,7s,6s,qs,player_4
3c,4c,3h,9s,player_2
2d,5s,9h,10s,player_1
ad,8d,kd,qd,player_1
as,js,8s,ks,player_1
kh,ah,2c,9h,player_2
jh,qh,3s,8h,player_2
jc,ac,9c,kc,player_2
10h,7h,3c,6h,player_1
10c,qc,8c,2h,player_2
9d,7d,jd,4h,player_3
5c,6c,7c,5s,player_3
4s,10s,6s,qs,player_4
4c,2s,4d,5h,player_1
3h,3d,6d,7s,player_1
2d,5d,10d,9s,player_3
ac,kc,jc,qc,player_1
qh,kh,ah,jh,player_3
9c,6c,8c,10c,player_4
9d,qd,kd,ad,player_4
8d,10d,5d,jd,player_4
7s,ks,js,as,player_4
6h,9h,10h,7h,player_3
6d,7d,4d,2d,player_2
4s,qs,2s,10s,player_2
3s,8s,4h,9s,player_4
3h,4c,8h,2h,player_3
3d,5c,5h,3c,player_1
2c,6s,7c,5s,player_3
ac,9c,7c,kc,player_1
ah,kh,jh,8h,player_1
jc,6c,2h,qc,player_4
jd,ad,qd,8d,player_2
10c,2c,2s,8c,player_1
10h,qh,5h,3c,player_2
10s,ks,as,qs,player_3
9h,7h,4h,3d,player_1
7s,5d,js,8s,player_3
6d,kd,10d,4s,player_2
4c,6h,2d,5c,player_4
4d,9d,3h,5s,player_2
3s,7d,9s,6s,player_3
ad,qd,jd,9d,player_1
kd,10d,7d,6d,player_1
kh,jh,ah,qh,player_3
qs,ks,js,as,player_4
jc,ac,10c,kc,player_2
8d,4d,5d,3d,player_1
8s,5s,9s,10s,player_4
7h,8h,10h,2s,player_3
6h,4h,9h,2d,player_3
4s,3s,6s,7s,player_4
3h,2h,5h,5c,player_3
3c,qc,8c,9c,player_2
2c,7c,4c,6c,player_2
ah,5h,kh,qh,player_1
kd,qd,ad,8d,player_3
jc,ac,7c,10c,player_2
jd,5d,10d,7d,player_1
10h,4d,jh,9h,player_3
9c,kc,2d,6c,player_2
6d,4s,9d,2h,player_3
5s,as,qs,js,player_2
5c,qc,4h,3c,player_2
4c,8c,6h,2c,player_2
3s,ks,8s,9s,player_2
3d,6s,7h,3h,player_1
2s,10s,8h,7s,player_2
as,qs,8s,js,player_1
ad,kd,jd,9d,player_1
ks,9s,6s,3s,player_1
kh,ah,qh,4h,player_2
qd,7d,6d,8d,player_1
jh,5h,10h,3h,player_1
10s,7s,2c,2h,player_1
10d,5d,3d,4d,player_1
8h,2s,9h,2d,player_3
8c,kc,jc,ac,player_4
6c,7c,10c,qc,player_4
5c,4s,6h,9c,player_4
4c,5s,7h,3c,player_1
qd,7d,ad,6d,player_3
jd,3d,kd,4h,player_3
10d,2h,4d,5c,player_1
9h,qh,ah,kh,player_3
9d,2c,3h,5h,player_1
9s,ks,as,qs,player_3
8h,7h,jh,5s,player_3
8c,qc,jc,ac,player_4
8d,2s,3c,8s,player_1
6s,7s,4s,js,player_4
5d,3s,6c,10s,player_1
4c,7c,9c,kc,player_4
2d,6h,10h,10c,player_1
kh,ah,jh,8h,player_2
10d,qd,ad,8d,player_3
9d,jd,kd,6d,player_3
8s,qs,6s,as,player_4
7s,3c,5s,ks,player_4
6c,qc,jc,ac,player_4
5h,qh,10h,7h,player_2
5d,3d,7d,2h,player_3
4s,4c,2d,js,player_4
4d,5c,2c,3h,player_1
4h,6h,9h,9s,player_3
3s,8c,7c,10s,player_4
2s,10c,9c,kc,player_1
kd,qd,7d,ad,player_4
kh,6h,4h,ah,player_4
qh,3c,3h,9h,player_1
jh,6c,2h,7h,player_1
10h,6d,2d,5h,player_1
10d,jd,5d,3d,player_2
9d,8d,4c,4s,player_1
8h,7c,5c,8s,player_1
6s,js,qs,as,player_4
4d,7s,5s,9s,player_1
3s,8c,10s,ks,player_4
2c,ac,kc,jc,player_2
2s,10c,qc,9c,player_1
ad,qd,jd,kd,player_1
kc,ac,jc,4c,player_2
qs,10s,as,7s,player_3
qc,9c,8c,2c,player_1
10c,7c,3c,2s,player_1
9h,10h,kh,ah,player_4
9d,10d,2d,8d,player_2
8s,6s,ks,5s,player_3
6c,5c,7h,2h,player_1
6h,8h,qh,5h,player_3
4d,7d,9s,5d,player_2
4s,4h,js,3d,player_3
3s,6d,jh,3h,player_1
ad,3d,jd,kd,player_1
qc,2d,ac,10c,player_3
jc,2h,kc,8c,player_3
js,8s,ks,as,player_4
10d,3s,7d,qd,player_4
8d,5h,2c,9d,player_4
7c,5s,9c,4c,player_3
6s,6h,9s,qs,player_4
6d,7h,4s,3h,player_1
5d,8h,5c,3c,player_1
4d,9h,6c,7s,player_1
4h,qh,ah,kh,player_3
2s,jh,10h,10s,player_4
ad,10d,kd,qd,player_1
ks,10s,qs,as,player_4
jd,4d,6d,9d,player_1
9h,ah,jh,5h,player_2
6h,kh,10h,4h,player_2
5s,8s,js,9s,player_3
4c,qc,jc,ac,player_4
3s,4s,6s,7s,player_4
3h,qh,8h,5c,player_2
3c,9c,10c,kc,player_4
2c,8c,7c,5d,player_2
2h,2d,7h,7d,player_3
2s,3d,6c,8d,player_1
ah,9h,kh,8h,player_1
ac,jc,kc,10c,player_1
qh,6h,10h,5h,player_1
qc,7c,8c,9c,player_1
qd,ad,kd,9d,player_2
jh,2c,7h,3h,player_1
10d,3d,jd,5d,player_3
8d,3c,7d,5c,player_1
5s,qs,6s,as,player_4
4h,3s,4c,8s,player_1
2s,10s,4d,ks,player_4
2d,4s,6d,9s,player_3
2h,7s,6c,js,player_1
as,qs,9s,7s,player_1
kc,9c,ac,qc,player_3
ks,js,8s,6s,player_1
kh,5h,ah,jh,player_3
