puzzle,label
_ _ 4590 _ _ _ _ _ _ 8118 _ _ 8092 _ 6397 _ _ _ _ 283 _ 5227 2753 2339 _ _ _ _ 6910 207 _ 3175 _ 2141 6880 _ _ _ 3501 3442 _ 4882 4536 _ _ _ 3037 2735 _ 948 _ 36 3173 _ _ _ _ 5509 1527 390 _ _ 5708 _ _ _ 1452 _ 313 7223 _ _ _ _ _ _ _ _ _ 6292 _,valid
_ 2721 _ 1972 _ _ 3414 _ _ 8008 _ 6518 789 _ _ _ _ _ _ _ 3962 _ 7481 4780 _ _ _ _ _ 8227 _ 6535 _ _ 2364 8590 _ _ 2860 5013 _ 2702 6823 _ _ 663 8760 _ _ 728 _ 6184 _ _ _ _ _ 1886 4047 _ 3401 _ _ _ _ _ _ _ 7238 1790 _ 7291 _ _ 3781 _ _ 7434 _ 5559 _,valid
4121 8477 _ _ 4980 _ _ 2781 5247 _ _ _ _ _ 6988 _ _ _ 6842 2236 _ _ 7778 _ _ 3398 5609 _ 4066 _ _ _ 5849 _ _ _ 3197 _ 2727 _ _ _ 4136 _ 4427 _ _ _ 7628 _ _ _ 3522 _ 2255 2159 _ _ 168 _ _ 2321 3880 _ _ _ 8284 _ _ _ _ _ 769 3040 _ _ 1070 _ _ 5677 2542,invalid
_ 1209 _ _ _ _ 4577 2100 _ _ _ _ _ _ 4107 _ 47 _ _ _ _ 8212 2436 _ _ _ 7143 _ 8724 _ _ _ 8111 _ 6415 _ _ _ 468 _ _ _ 6378 _ _ 5060 1862 _ 8603 _ _ _ 3648 4457 7597 _ _ 815 135 _ _ _ _ 6393 8734 _ _ _ 477 _ _ _ _ _ 2964 _ _ _ _ 8696 _,invalid
1288 _ _ _ 4096 2273 4485 _ 8117 5979 _ _ _ _ _ _ _ _ 4269 130 _ _ _ 6297 3585 _ 7882 _ _ _ _ 9009 _ 4555 _ _ _ _ _ 6440 _ _ 2421 4328 _ _ _ _ 2236 _ _ _ _ 133 _ 4734 _ _ _ _ _ 4693 6019 _ _ 4383 _ 5762 _ 7909 _ _ _ 4359 _ 2096 _ _ _ _ _,valid
_ 6310 5631 _ _ 1059 2633 4282 _ 2196 _ _ 4673 _ _ _ _ 1772 _ _ 5148 5723 _ _ 1306 _ _ 4601 _ _ _ _ _ 1465 9004 _ _ _ _ _ 4783 _ _ _ _ _ 6208 2040 _ _ _ _ _ 6524 _ _ 5759 _ _ 3389 1164 _ _ 2204 _ _ _ _ 3894 _ _ 4703 _ 106 8389 8057 _ _ 8205 8247 _,invalid
_ 6722 _ _ 1215 _ _ 7437 _ 7749 635 _ _ _ _ _ 819 3114 7654 _ 5363 _ 2279 _ 2046 _ 5612 _ _ 2892 _ _ 7154 5848 _ _ _ _ _ 8999 _ 3532 _ _ _ _ _ _ 3667 _ _ _ _ _ 6430 _ 3258 _ 1802 _ 6849 _ 3635 6546 1091 _ _ _ _ _ 273 5689 _ 256 _ _ 673 _ _ 6767 _,valid
_ _ 6331 _ _ 1032 7804 _ _ 96 _ 553 7439 _ _ 8668 _ 8766 6138 _ _ _ 2791 _ _ _ 6403 _ _ _ 30 _ _ _ 1137 5057 _ _ 487 _ _ _ 5185 _ _ 5446 5712 _ _ _ 7705 _ _ _ 6735 _ _ _ 6295 _ _ _ 8322 1962 _ 9011 5009 _ _ 1142 _ 6644 _ _ 2070 _ _ 1802 347 _ _,valid
_ _ _ _ 4839 _ _ _ _ 7132 _ _ _ _ 6824 _ _ 1895 7117 _ 1982 _ _ 4535 4018 _ 7565 _ 5728 2862 _ _ _ 3061 4556 _ _ 47 _ _ _ _ _ 8467 _ 6921 _ 1153 _ _ _ 1030 _ 708 7564 _ 634 3667 _ _ 8433 _ 2994 312 _ _ 4151 _ _ _ _ 1841 _ _ _ _ 4005 _ _ _ _,valid
_ 3213 _ 5712 _ 819 _ 5380 _ _ _ 8883 _ _ 8831 416 _ _ _ 5759 _ _ _ 2186 _ 2127 _ 41 8394 _ 5839 _ 8120 3832 _ _ 7538 _ _ _ _ _ _ _ 3929 _ _ 5692 8933 _ 17 _ 7253 5453 _ 6274 _ _ _ 2552 _ 8954 _ _ _ 4152 _ _ 8881 3689 _ _ _ 3215 _ 4517 _ 6796 _ 768 _,invalid
_ _ _ _ _ 611 _ _ _ 3142 _ 4119 1211 7234 3531 _ _ 3880 _ _ 1197 3064 _ _ _ _ _ 3548 5966 _ _ _ _ 4156 6492 _ _ 8510 _ _ _ _ _ 228 _ _ 6961 2538 _ _ _ _ 2404 4821 _ _ _ _ _ 5308 8059 659 _ _ _ _ 747 8653 3715 _ _ _ _ 8505 _ 408 _ _ _ 3209 _,invalid
3051 _ _ 7346 _ 4498 _ _ 7122 8579 _ _ _ 4408 _ _ _ 4719 _ _ _ 6326 _ 3496 _ _ _ 8482 _ 3023 _ 6705 _ 5255 _ 409 _ 1761 _ 2579 _ 428 _ 1862 _ 4540 _ 8579 _ 7572 _ 6549 _ 2456 _ _ _ 4406 _ 963 _ _ _ 8730 _ _ _ 4168 _ _ _ 8494 8244 _ _ 1329 _ 6629 _ _ 7254,invalid
_ _ _ _ 1689 _ _ _ 5294 _ _ 2612 _ _ _ 337 _ 3628 _ _ 8639 588 _ _ _ 5888 _ 8190 _ 5530 _ 8421 _ 1392 _ 4739 5818 6945 _ _ 2609 _ _ 8247 7067 _ _ 5799 _ 2927 _ 4723 _ _ _ 8420 _ 6058 _ _ 7113 4030 _ _ _ 6880 _ _ _ _ _ _ 7341 8406 _ _ 6105 _ _ _ _,invalid
_ _ 2324 6412 1817 _ 2160 _ _ _ 880 _ _ 8582 6127 _ 3045 _ 2791 _ _ _ _ 7200 _ _ 5900 _ _ _ _ _ 4832 _ _ _ 3594 6574 8709 _ _ _ 8014 5041 1032 4334 _ _ 6439 _ _ _ _ 5863 6856 _ _ _ _ 8088 _ _ 4415 _ 167 _ _ 5062 3378 _ 8252 _ _ _ 4856 5498 7431 _ 8527 _ _,valid
3659 5842 _ _ _ _ _ 8631 _ _ _ _ _ _ 6776 5818 _ 2536 4137 2159 _ _ _ 7377 1829 _ _ _ _ 5148 _ 2633 _ 3635 _ _ _ _ _ 7874 _ 7475 _ _ _ _ _ 5105 _ 3625 _ 2259 _ _ _ 507 7903 _ _ 5062 _ _ _ 3557 _ _ _ _ 7724 4132 _ 3334 _ 3888 _ _ _ _ 1473 _ 3404,valid
