player_1,player_2,player_3,player_4,winner
4320,24576,12651,13292,1
35896,21717,23931,2910,1
10372,23216,15743,8166,1
17122,11885,26991,5052,4
36539,17907,9530,18723,3
7420,32901,20784,14218,4
28464,6654,20109,37385,2
38051,2083,19405,31293,1
38809,648,35139,34358,4
29061,29996,33651,26187,4
25347,5955,3540,1397,1
14936,11037,8993,30629,1
27675,22476,32049,16302,2
4410,33723,16356,13337,1
9650,5923,31461,17906,1
26098,24697,8977,12557,1
22416,20097,35170,18564,1
26788,14041,7402,5148,4
11243,25282,27629,36700,1
30684,14798,20780,15536,1
3707,8181,29179,29776,1
1499,38035,2247,32197,4
657,17245,28392,11993,2
37405,6583,2933,32801,1
38828,23147,21553,34435,4
19364,23947,35885,10406,1
4444,16280,13376,26109,1
14144,17087,5189,24601,3
23135,35927,21546,23904,2
12577,15671,37405,32246,1
30744,31298,22494,9640,4
33535,25436,20144,8782,1
5816,35113,11107,17889,4
1305,19338,27596,29224,1
38905,34280,26832,8235,3
2136,10378,2857,6612,2
29784,32827,11805,38182,3
14837,28357,7413,3528,2
20825,527,36577,18631,2
35960,6550,10413,23995,1
17137,727,14193,5205,4
23090,38173,21704,2872,3
32800,19370,26884,7455,3
1484,13391,26082,4458,4
38916,31425,11992,25278,3
37339,33533,12663,16287,4
35110,9702,22376,17936,2
29992,2038,34395,20881,3
8055,36746,15656,28397,4
14937,30583,29093,24726,1
27571,11061,5863,3663,2
20054,18610,32030,8956,3
4444,16319,13378,26073,1
17834,36635,22318,9564,4
26812,14038,5068,20168,3
11072,3552,35209,19333,1
18677,31470,20823,2042,1
33734,8904,24621,12683,4
30636,15530,14839,38044,1
32889,11913,17182,6662,3
529,7278,34382,32047,3
5790,25377,8202,23049,1
29220,1405,38782,10474,2
29803,37480,28283,23972,1
27672,21687,2825,35835,1
35929,10428,38091,23987,1
13291,33692,4356,12697,3
14222,26990,5145,17244,3
16332,8996,26156,32040,3
30682,17826,9589,18636,3
7423,32932,11783,34468,3
5856,3560,22311,36710,3
2085,23210,14953,21599,4
37332,1365,20947,24697,2
31400,15575,11172,35163,3
29043,8061,25497,27716,1
19490,6707,38945,29958,1
20053,2834,723,28356,1
35972,10475,6526,23962,1
26205,4375,33682,12574,2
17218,14083,26982,5119,4
16373,13367,37460,32059,2
2894,28321,2213,21613,4
8822,8207,24723,29178,1
38191,35186,14784,23100,4
1411,572,25466,20102,1
31354,11230,17956,9659,4
29934,34356,11883,19478,3
20786,7378,32991,36643,3
15621,3565,38799,18718,1
27626,30588,5859,22473,4
35795,21736,2930,23955,1
13319,27581,12703,4376,4
26172,15567,1337,16398,1
22307,17894,9672,3664,3
11070,18692,5783,31362,1
36648,30731,20958,35027,2
6685,23135,38095,10355,4
32226,25357,29096,33540,4
8910,29919,14885,37409,1
621,5167,14175,34294,2
38813,17066,26916,7365,3
19399,2175,32846,24732,1
20129,28418,11923,8062,1
