player_1,player_2,player_3,player_4,winner
17886,22498,9717,18728,3
10467,23994,35952,23037,3
21559,6596,38080,2198,1
33543,4386,13469,20054,2
2915,19289,25359,8217,1
8806,1396,26168,27678,3
28491,24567,29958,14790,1
7388,34384,26968,5047,4
5976,11083,3749,36728,2
552,32827,31462,14131,4
37330,29177,16473,38949,3
20937,35085,32218,17191,4
15682,30715,12653,11945,1
5039,34426,26894,17068,1
23851,35790,14918,28393,2
14194,32808,7468,38920,1
22352,30657,9563,17987,3
21606,10360,20029,2165,2
11912,27667,692,29983,1
32237,4285,26220,13322,2
8824,29245,16312,33587,3
31356,19316,11031,18530,3
35071,38205,36724,3606,3
24597,6691,12572,20913,3
25495,2946,37450,8189,1
15730,23234,1441,5909,2
4369,16321,12737,1316,1
13418,24564,37444,27575,1
26997,5080,7452,17244,2
26098,20107,29175,35095,1
23144,10334,35871,21631,3
34492,14133,25359,11924,2
33576,19486,15701,2236,1
6681,14826,23910,38061,3
32133,29943,20828,3618,1
8955,5819,31330,36722,1
608,30714,28315,32864,4
38779,18671,2828,11132,1
8195,9535,17927,22416,1
35950,28438,6589,10327,1
17975,22300,36724,9632,4
23973,38040,27730,23158,1
26776,5203,14239,34404,2
21705,8132,20886,2877,1
11183,18690,3527,30694,1
16348,33609,13297,4462,4
17220,11838,729,7371,1
32981,38828,29939,19334,1
1345,37383,32037,26248,4
14834,15730,20220,2087,4
25281,35145,29042,5817,1
24660,31432,8779,12599,4
17839,9598,30619,22447,2
23137,28423,23959,35806,4
18567,11096,3607,36549,2
2854,27610,21531,10362,4
32069,26072,13333,4347,4
6596,29211,8066,24645,1
5872,35028,31416,29776,1
38241,590,14940,37486,1
1464,33599,19389,16324,4
2044,8995,25351,7447,1
20128,34401,38978,12565,4
15701,11873,17151,32892,1
20931,26895,14163,5054,4
17800,11217,9593,35105,3
13490,16308,8805,4468,4
10450,35834,23928,21725,2
26809,7490,17220,5228,4
33670,12591,1386,26054,4
6667,2783,8066,23106,4
38146,19499,15607,28370,4
37344,29166,20173,32156,4
2193,38849,31282,20818,1
29857,671,32844,14178,4
25445,5872,36611,11992,4
14984,3538,18678,27672,1
24631,30740,22311,34441,1
9693,3681,35163,11229,1
17939,8221,19499,18663,1
22468,38978,14849,5964,1
23163,35781,10466,15676,2
30640,2184,29102,31282,1
2957,23893,21590,20931,2
32949,5249,14073,25347,2
36653,38173,29808,24533,1
7398,17173,26959,8885,3
565,11921,34444,33747,2
1480,13372,32174,4482,4
20140,12683,37441,26099,4
27610,28283,6630,16447,1
5241,32810,26917,14190,1
13370,4374,26045,8992,2
17037,29950,11904,34485,1
18739,17794,9737,11178,3
33599,20808,16475,20094,3
32195,14908,12610,27637,3
3580,22383,36543,5899,2
7396,8142,35173,707,1
1476,38240,2173,15735,1
37301,6583,28444,25462,1
38968,30601,23085,19450,1
29245,2885,21650,31449,1
24530,35781,10417,23911,1
