puzzle,label
2476 _ 3849 _ _ _ _ _ _ _ _ _ _ 3840 _ 3766,valid
_ _ 3400 _ _ _ 601 1937 789 3609 _ _ _ 686 _ _,valid
_ 3926 _ _ _ _ 2388 _ _ 3007 _ _ _ _ 2475 _,invalid
858 3121 _ _ _ 1440 _ _ _ _ 103 _ _ _ 3283 2238,invalid
_ 3231 _ 1219 _ _ _ _ _ _ _ _ 769 _ 1127 _,valid
81 139 _ _ _ 1582 _ _ _ _ 403 _ _ _ 3391 3931,invalid
2758 _ _ 446 _ 1487 _ _ _ _ 2726 _ 2849 _ _ 1067,valid
_ _ 2719 _ _ 1672 _ _ _ _ 1066 _ _ 900 _ _,invalid
_ _ 3256 2298 _ _ _ 3959 3379 _ _ _ 3023 3325 _ _,valid
_ _ 2792 1004 _ _ 1603 _ _ 527 _ _ 4021 951 _ _,valid
653 2848 _ 2249 _ _ _ _ _ _ _ _ 1937 _ 686 1370,invalid
852 _ 1535 _ _ _ _ _ _ _ _ _ _ 1306 _ 3092,invalid
2806 _ _ 213 _ _ _ 3412 1566 _ _ _ 587 _ _ 2504,invalid
2178 _ _ _ _ 2065 _ 3849 3549 _ 1473 _ _ _ _ 2310,invalid
3334 _ _ _ _ _ _ 2932 3775 _ _ _ _ _ _ 3891,invalid
2081 _ _ 222 _ 51 _ _ _ _ 3145 _ 1241 _ _ 1431,valid
3187 3469 _ _ 1246 _ _ _ _ _ _ 3619 _ _ 2332 3243,invalid
211 _ _ 4143 _ 1029 _ _ _ _ 1773 _ 1512 _ _ 332,invalid
1827 _ _ 2879 _ 476 _ _ _ _ 3576 _ 2859 _ _ 948,invalid
3648 _ _ _ 881 _ _ 3312 641 _ _ 1191 _ _ _ 2986,invalid
_ 543 3891 _ 2193 _ _ _ _ _ _ 3087 _ 3949 1940 _,valid
_ _ _ 1104 _ _ _ 669 1698 _ _ _ 2981 _ _ _,valid
1982 _ _ _ 3237 2489 _ _ _ _ 3776 601 _ _ _ 3285,invalid
