puzzle,label
_ 1681 458 _ 4052 _ _ _ _ _ _ 3441 _ 2580 4075 _,valid
131 _ _ 3100 _ _ 2540 _ _ 2741 _ _ 2812 _ _ 1391,invalid
_ _ 2166 756 _ _ _ 2211 1294 _ _ _ 2309 408 _ _,invalid
1390 _ _ _ 2141 1516 _ _ _ _ 3098 4060 _ _ _ 2073,valid
1246 _ _ 1128 _ 1930 _ _ _ _ 96 _ 258 _ _ 2061,valid
_ _ _ 3221 2496 _ _ _ _ _ _ 756 2833 _ _ _,valid
_ _ 591 _ 3161 _ _ _ _ _ _ 2212 _ 3361 _ _,valid
_ _ 3226 _ _ _ 1678 2326 2795 3259 _ _ _ 3020 _ _,invalid
_ 3015 _ _ _ _ 1684 _ _ 395 _ _ _ _ 1179 _,valid
2248 _ _ _ 4125 2392 _ _ _ _ 2980 4123 _ _ _ 1574,valid
_ _ 1992 _ _ 3544 _ _ _ _ 257 _ _ 3147 _ _,invalid
_ 1650 425 _ _ _ 3092 _ _ 57 _ _ _ 2223 691 _,invalid
_ _ 570 3590 _ _ 2047 _ _ 301 _ _ 3792 2906 _ _,valid
_ 3530 _ 764 3663 _ _ _ _ _ _ 3123 3352 _ 3905 _,invalid
3702 _ 494 2754 _ _ _ _ _ _ _ _ 650 3804 _ 3938,valid
_ _ 681 3660 _ _ _ 1519 1729 _ _ _ 2245 344 _ _,valid
14 _ 399 416 _ _ _ _ _ _ _ _ 870 1402 _ 2066,valid
_ 2429 _ _ 4143 _ _ 866 2222 _ _ 3843 _ _ 1816 _,invalid
1539 _ _ 785 _ _ 2426 _ _ 3997 _ _ 954 _ _ 2065,invalid
_ _ 3623 2605 _ _ 2604 _ _ 1024 _ _ 2008 999 _ _,valid
1040 712 _ _ _ 3836 _ _ _ _ 2826 _ _ _ 3098 2976,valid
_ 2209 _ _ 1637 _ _ 2553 1541 _ _ 100 _ _ 2187 _,invalid
_ _ _ _ 2421 1685 _ _ _ _ 1122 2635 _ _ _ _,valid
_ 3072 _ _ 1869 _ 444 _ _ 3422 _ 11 _ _ 1609 _,invalid
_ 129 4136 _ _ _ _ 2223 4053 _ _ _ _ 2737 1443 _,invalid
_ _ _ _ _ 2235 _ 2490 381 _ 1750 _ _ _ _ _,valid
_ _ 3962 _ _ _ 740 3649 545 1336 _ _ _ 3355 _ _,valid
_ _ _ 4154 _ 945 _ _ _ _ 1979 _ 3231 _ _ _,valid
_ 591 3629 _ _ _ 2396 _ _ 3598 _ _ _ 3852 2918 _,invalid
_ _ _ 3479 553 _ 2546 _ _ 3612 _ 256 927 _ _ _,valid
_ _ _ _ _ _ 676 978 2238 1255 _ _ _ _ _ _,valid
_ 2709 _ _ 2011 3923 _ _ _ _ 2236 3063 _ _ 3167 _,valid
_ 1483 _ _ 1670 789 _ _ _ _ 731 2845 _ _ 3940 _,invalid
365 _ 3067 _ _ _ _ _ _ _ _ _ _ 1264 _ 2589,invalid
139 4129 _ _ _ _ _ _ _ _ _ _ _ _ 1810 2430,valid
_ 3617 4067 _ 1801 _ _ _ _ _ _ 3598 _ 3740 569 _,invalid
_ 1793 _ 3414 _ _ 4147 _ _ 3395 _ _ 3336 _ 2458 _,invalid
2037 _ _ _ _ 1490 279 _ _ 2232 1238 _ _ _ _ 654,invalid
_ _ 2971 1306 _ _ 2036 _ _ 1215 _ _ 1415 792 _ _,valid
_ _ 344 _ _ _ 461 _ _ 1331 _ _ _ 2760 _ _,valid
3250 _ _ _ _ 1231 3347 _ _ 96 520 _ _ _ _ 656,valid
2080 _ _ _ _ _ _ 2458 863 _ _ _ _ _ _ 1125,invalid
2630 _ _ 3443 _ _ 542 _ _ 317 _ _ 2135 _ _ 683,valid
311 672 _ _ 673 _ _ _ _ _ _ 3731 _ _ 3911 1032,valid
_ 2163 _ _ _ _ _ 2314 3327 _ _ _ _ _ 1735 _,valid
_ _ 2910 _ 172 _ _ 3850 1717 _ _ 3434 _ 520 _ _,invalid
433 _ _ _ 1653 _ _ _ _ _ _ 1426 _ _ _ 1664,valid
1829 _ _ 1087 _ _ 1219 _ _ 2345 _ _ 1927 _ _ 1159,invalid
_ 4039 2467 _ _ _ _ 852 1108 _ _ _ _ 3109 307 _,valid
2531 _ _ _ _ _ _ 2049 2755 _ _ _ _ _ _ 2316,valid
_ _ _ _ 3531 3812 2574 _ _ 2314 3117 426 _ _ _ _,valid
